Image,Label,x,y,Timestamp
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1868,100,0
img_000000000_Default_000.tif,D-Right,1869,825,0
img_000000000_Default_000.tif,E-Right,1874,108,0
img_000000000_Default_000.tif,D-Right,1868,833,0
img_000000000_Default_000.tif,E-Right,1868,100,000000
img_000000000_Default_000.tif,D-Right,1869,825,000000
